sku,product_name,brand_owner,brand,brand_tier,category,business_mode,inventory_risk_owner,msrp,standard_cost,take_rate,gross_margin_target,season,product_lifecycle,price_band,gender_segment,age_segment,color_family,size_group,style_type,core_or_seasonal,clearance_flag,replenishable_flag,launch_date
SKU00112,Nike Sportswear Relationship,External Brand,Nike,Tier 1,Sportswear,Consignment,Brand Partner,571.99,13.48,0.1953,0.2357,Summer,Growth,Mass,Men,Young Adult,Red,One Size,Clearance,Seasonal,1,0,2025-06-30
SKU00113,Patagonia Kids Apparel Edge,External Brand,Patagonia,Tier 3,Kids Apparel,Buyout,Himaxx,1034.51,170.1,1.0,0.4739,Fall,Mature,Premium,Women,Adult,Green,M-L,Clearance,Seasonal,1,0,2024-02-22
SKU00114,Adidas Performance Apparel Catch,External Brand,Adidas,Tier 1,Performance Apparel,Buyout,Himaxx,485.54,40.5,1.0,0.4425,Core,Mature,Mass,Unisex,Adult,Brown,XS-S,Core Basic,Core,0,1,2025-05-12
SKU00115,Champion Lifestyle Apparel First,External Brand,Champion,Tier 3,Lifestyle Apparel,Buyout,Himaxx,439.3,53.82,1.0,0.4699,Spring,Growth,Mass,Men,Adult,Grey,M-L,Fashion,Seasonal,0,1,2024-09-19
SKU00116,Columbia Yoga Apparel Woman,External Brand,Columbia,Tier 3,Yoga Apparel,Buyout,Himaxx,306.61,41.88,1.0,0.3534,Summer,Growth,Mass,Unisex,Young Adult,Multi,XL-XXL,Clearance,Seasonal,1,0,2025-08-08
SKU00117,Cole Haan Training Shoes Baby,External Brand,Cole Haan,Tier 2,Training Shoes,Buyout,Himaxx,619.97,63.59,1.0,0.3159,Spring,Mature,Mass,Kids,Youth,Grey,XL-XXL,Core Basic,Core,0,1,2023-05-18
SKU00118,Hoka Basketball Shoes Pretty,External Brand,Hoka,Tier 1,Basketball Shoes,Consignment,Brand Partner,1064.92,38.89,0.3393,0.2002,Core,Growth,Premium,Unisex,Young Adult,White,M-L,Performance,Seasonal,0,1,2026-05-05
SKU00119,Columbia Yoga Apparel Black,External Brand,Columbia,Tier 3,Yoga Apparel,Buyout,Himaxx,1298.73,217.22,1.0,0.3706,Spring,Growth,Premium,Kids,Youth,Black,One Size,Clearance,Seasonal,1,0,2023-07-27
SKU00120,Skechers Outdoor Apparel Different,External Brand,Skechers,Tier 3,Outdoor Apparel,Buyout,Himaxx,1131.32,192.14,1.0,0.3133,Summer,Growth,Premium,Unisex,Youth,Black,M-L,Core Basic,Core,0,1,2024-11-11
SKU00121,Brooks Brothers Yoga Apparel Cause,External Brand,Brooks Brothers,Tier 1,Yoga Apparel,Consignment,Brand Partner,1004.76,15.53,0.2426,0.2344,Spring,Clearance,Premium,Women,Young Adult,Black,M-L,Core Basic,Seasonal,1,0,2026-02-22
SKU00122,Champion Basketball Shoes Upon,External Brand,Champion,Tier 3,Basketball Shoes,Buyout,Himaxx,1214.04,139.05,1.0,0.3835,Spring,Growth,Premium,Unisex,Young Adult,Blue,One Size,Fashion,Seasonal,0,1,2023-07-22
SKU00123,Brand A Lifestyle Apparel Election,Himaxx Own,Brand A,Tier 2,Lifestyle Apparel,Own Brand,Himaxx,197.7,36.34,1.0,0.5967,Winter,Growth,Entry,Women,Youth,Grey,XS-S,Performance,Seasonal,0,1,2024-06-15
SKU00124,Patagonia Running Shoes Coach,External Brand,Patagonia,Tier 3,Running Shoes,Consignment,Brand Partner,1216.63,48.89,0.3277,0.3232,Winter,Mature,Premium,Men,Adult,Black,XL-XXL,Performance,Seasonal,0,1,2024-08-29
SKU00125,Columbia Running Shoes Of,External Brand,Columbia,Tier 3,Running Shoes,Buyout,Himaxx,1313.91,117.41,1.0,0.472,Spring,Growth,Premium,Unisex,Young Adult,White,One Size,Performance,Seasonal,0,1,2025-06-16
SKU00126,Hoka Basketball Shoes Population,External Brand,Hoka,Tier 1,Basketball Shoes,Consignment,Brand Partner,450.38,5.28,0.304,0.1808,Summer,Mature,Mass,Kids,Adult,Grey,M-L,Fashion,Seasonal,0,1,2026-04-19
SKU00127,Skechers Kids Apparel Surface,External Brand,Skechers,Tier 3,Kids Apparel,Buyout,Himaxx,828.86,115.67,1.0,0.2697,Fall,Clearance,Premium,Women,Young Adult,White,M-L,Core Basic,Seasonal,1,0,2025-04-23
SKU00128,Reebok Underwear Kids Apparel Across,External Brand,Reebok Underwear,Tier 2,Kids Apparel,Consignment,Brand Partner,167.13,4.37,0.2247,0.1936,Fall,New,Entry,Kids,Young Adult,Black,M-L,Fashion,Seasonal,0,0,2025-05-08
SKU00129,Hoka Training Shoes Once,External Brand,Hoka,Tier 1,Training Shoes,Buyout,Himaxx,579.15,86.28,1.0,0.4671,Summer,Growth,Mass,Women,Adult,Black,XS-S,Core Basic,Core,0,1,2024-03-30
SKU00130,Reebok Underwear Performance Apparel Record,External Brand,Reebok Underwear,Tier 2,Performance Apparel,Consignment,Brand Partner,431.8,18.75,0.184,0.1951,Summer,Clearance,Mass,Men,Adult,Black,M-L,Fashion,Seasonal,1,0,2023-08-29
SKU00131,Cole Haan Lifestyle Apparel Unit,External Brand,Cole Haan,Tier 2,Lifestyle Apparel,Buyout,Himaxx,1286.24,160.48,1.0,0.2629,Fall,New,Premium,Women,Adult,Blue,XL-XXL,Core Basic,Seasonal,0,0,2023-10-02
SKU00132,Columbia Running Shoes Business,External Brand,Columbia,Tier 3,Running Shoes,Buyout,Himaxx,999.9,110.54,1.0,0.3127,Summer,Growth,Premium,Women,Young Adult,Brown,M-L,Core Basic,Core,0,1,2026-01-06
SKU00133,Brooks Brothers Performance Apparel Situation,External Brand,Brooks Brothers,Tier 1,Performance Apparel,Buyout,Himaxx,600.2,50.85,1.0,0.4406,Core,New,Mass,Kids,Youth,Red,XS-S,Performance,Seasonal,0,0,2025-01-02
SKU00134,Reebok Underwear Lifestyle Apparel Expert,External Brand,Reebok Underwear,Tier 2,Lifestyle Apparel,Buyout,Himaxx,825.37,60.41,1.0,0.2974,Summer,Clearance,Premium,Men,Adult,Blue,XL-XXL,Performance,Seasonal,1,0,2024-03-11
SKU00135,Brand A Sportswear Develop,Himaxx Own,Brand A,Tier 2,Sportswear,Own Brand,Himaxx,418.3,56.76,1.0,0.4324,Core,Mature,Mass,Kids,Adult,Multi,M-L,Fashion,Seasonal,0,1,2025-07-01
SKU00136,Patagonia Sportswear Democrat,External Brand,Patagonia,Tier 3,Sportswear,Buyout,Himaxx,746.33,129.22,1.0,0.281,Spring,New,Mass,Men,Adult,Black,One Size,Performance,Seasonal,0,0,2025-05-29
SKU00137,Nike Running Shoes Tonight,External Brand,Nike,Tier 1,Running Shoes,Buyout,Himaxx,1383.55,210.07,1.0,0.3965,Winter,Mature,Premium,Women,Adult,Multi,M-L,Performance,Seasonal,0,1,2024-02-21
SKU00138,Columbia Bags Middle,External Brand,Columbia,Tier 3,Bags,Consignment,Brand Partner,423.55,13.37,0.2772,0.2618,Winter,Growth,Mass,Men,Young Adult,Blue,M-L,Performance,Seasonal,0,1,2024-02-06
SKU00139,Reebok Underwear Basketball Shoes Whatever,External Brand,Reebok Underwear,Tier 2,Basketball Shoes,Consignment,Brand Partner,1211.19,41.48,0.2264,0.1972,Winter,Mature,Premium,Women,Adult,Blue,XS-S,Performance,Seasonal,0,1,2025-11-19
SKU00140,Under Armour Running Shoes Best,External Brand,Under Armour,Tier 3,Running Shoes,Consignment,Brand Partner,1170.49,27.56,0.3269,0.2559,Winter,Mature,Premium,Unisex,Adult,White,XS-S,Core Basic,Core,0,1,2025-04-01
SKU00141,Under Armour Training Shoes Themselves,External Brand,Under Armour,Tier 3,Training Shoes,Consignment,Brand Partner,1055.7,15.02,0.3187,0.2375,Summer,Growth,Premium,Women,Adult,Green,XS-S,Performance,Seasonal,0,1,2024-03-05
SKU00142,Brand B Basketball Shoes About,Himaxx Own,Brand B,Tier 2,Basketball Shoes,Own Brand,Himaxx,465.23,95.86,1.0,0.4805,Fall,Clearance,Mass,Women,Young Adult,Green,M-L,Core Basic,Seasonal,1,0,2024-05-07
SKU00143,Brooks Brothers Kids Apparel Case,External Brand,Brooks Brothers,Tier 1,Kids Apparel,Consignment,Brand Partner,453.32,21.58,0.2705,0.3393,Core,New,Mass,Women,Young Adult,White,XS-S,Core Basic,Seasonal,0,0,2025-04-04
SKU00144,New Balance Outdoor Apparel Everybody,External Brand,New Balance,Tier 3,Outdoor Apparel,Buyout,Himaxx,752.4,76.38,1.0,0.2908,Core,Mature,Mass,Women,Young Adult,Blue,One Size,Core Basic,Core,0,1,2023-10-31
SKU00145,Brand A Running Shoes Letter,Himaxx Own,Brand A,Tier 2,Running Shoes,Own Brand,Himaxx,1476.81,257.58,1.0,0.5098,Core,Mature,Premium,Unisex,Youth,Multi,M-L,Performance,Seasonal,0,1,2025-01-01
SKU00146,Fila Outdoor Apparel Late,External Brand,Fila,Tier 3,Outdoor Apparel,Buyout,Himaxx,1313.38,149.69,1.0,0.3125,Spring,Growth,Premium,Women,Young Adult,Multi,XS-S,Core Basic,Core,0,1,2025-01-11
SKU00147,Asics Underwear Brother,External Brand,Asics,Tier 3,Underwear,Buyout,Himaxx,485.24,36.72,1.0,0.4232,Fall,Clearance,Mass,Men,Young Adult,Grey,XS-S,Performance,Seasonal,1,0,2023-07-29
SKU00148,Brooks Brothers Training Shoes Use,External Brand,Brooks Brothers,Tier 1,Training Shoes,Buyout,Himaxx,1184.13,99.62,1.0,0.275,Winter,Growth,Premium,Women,Senior,Black,M-L,Performance,Seasonal,0,1,2025-06-02
SKU00149,Cole Haan Sportswear Church,External Brand,Cole Haan,Tier 2,Sportswear,Buyout,Himaxx,944.17,57.6,1.0,0.4815,Fall,Clearance,Premium,Men,Adult,Black,XS-S,Core Basic,Seasonal,1,0,2024-12-25
SKU00150,Columbia Lifestyle Apparel They,External Brand,Columbia,Tier 3,Lifestyle Apparel,Buyout,Himaxx,656.78,102.96,1.0,0.4733,Summer,Growth,Mass,Women,Young Adult,White,One Size,Core Basic,Core,0,1,2024-06-15
SKU00151,Champion Performance Apparel Old,External Brand,Champion,Tier 3,Performance Apparel,Consignment,Brand Partner,1121.41,31.7,0.1854,0.3081,Core,Mature,Premium,Men,Adult,Black,M-L,Fashion,Seasonal,0,1,2023-10-17
SKU00152,Brand A Performance Apparel Care,Himaxx Own,Brand A,Tier 2,Performance Apparel,Own Brand,Himaxx,1284.68,170.27,1.0,0.4736,Core,Mature,Premium,Men,Adult,Green,One Size,Limited,Seasonal,0,1,2023-06-22
SKU00153,Brand B Sportswear His,Himaxx Own,Brand B,Tier 2,Sportswear,Own Brand,Himaxx,1219.23,183.74,1.0,0.4901,Summer,Mature,Premium,Women,Young Adult,White,XS-S,Fashion,Seasonal,0,1,2026-01-16
SKU00154,Brand A Underwear Style,Himaxx Own,Brand A,Tier 2,Underwear,Own Brand,Himaxx,411.59,64.1,1.0,0.4023,Winter,Growth,Mass,Unisex,Young Adult,Red,XL-XXL,Performance,Seasonal,0,1,2026-04-06
SKU00155,Brand A Outdoor Apparel Among,Himaxx Own,Brand A,Tier 2,Outdoor Apparel,Own Brand,Himaxx,2062.23,403.89,1.0,0.5161,Summer,Mature,Luxury,Unisex,Senior,Grey,XL-XXL,Performance,Seasonal,0,1,2026-01-16
SKU00156,The North Face Lifestyle Apparel Develop,External Brand,The North Face,Tier 3,Lifestyle Apparel,Buyout,Himaxx,790.6,81.1,1.0,0.4602,Core,New,Mass,Women,Young Adult,White,M-L,Performance,Seasonal,0,0,2025-05-23
SKU00157,Brand A Accessories Reflect,Himaxx Own,Brand A,Tier 2,Accessories,Own Brand,Himaxx,443.89,77.11,1.0,0.4618,Spring,Growth,Mass,Women,Young Adult,Blue,M-L,Fashion,Seasonal,0,1,2023-08-28
SKU00158,Cole Haan Bags State,External Brand,Cole Haan,Tier 2,Bags,Buyout,Himaxx,1319.81,84.22,1.0,0.3957,Winter,Clearance,Premium,Men,Adult,Black,M-L,Core Basic,Seasonal,1,0,2025-01-10
SKU00159,Lululemon Training Shoes Two,External Brand,Lululemon,Tier 1,Training Shoes,Consignment,Brand Partner,1537.46,69.18,0.3193,0.2082,Core,Clearance,Premium,Men,Young Adult,Brown,XL-XXL,Fashion,Seasonal,1,0,2024-07-25
SKU00160,Champion Bags Pressure,External Brand,Champion,Tier 3,Bags,Consignment,Brand Partner,854.77,16.41,0.2893,0.209,Core,Clearance,Premium,Kids,Young Adult,White,XS-S,Limited,Seasonal,1,0,2025-08-05
SKU00161,New Balance Outdoor Apparel Wish,External Brand,New Balance,Tier 3,Outdoor Apparel,Consignment,Brand Partner,323.28,9.86,0.2404,0.3173,Fall,Mature,Mass,Women,Young Adult,Red,XL-XXL,Core Basic,Core,0,1,2026-02-19
SKU00162,Champion Underwear Treatment,External Brand,Champion,Tier 3,Underwear,Buyout,Himaxx,278.26,31.56,1.0,0.318,Core,Mature,Entry,Women,Young Adult,Grey,XL-XXL,Performance,Seasonal,0,1,2023-11-01
SKU00163,Adidas Outdoor Apparel Such,External Brand,Adidas,Tier 1,Outdoor Apparel,Consignment,Brand Partner,1828.62,75.54,0.2117,0.2151,Core,Growth,Luxury,Women,Youth,Black,XL-XXL,Limited,Seasonal,0,1,2025-10-11
SKU00164,Adidas Underwear Upon,External Brand,Adidas,Tier 1,Underwear,Buyout,Himaxx,620.81,91.52,1.0,0.3813,Core,Mature,Mass,Women,Adult,Black,M-L,Core Basic,Core,0,1,2024-08-01
SKU00165,Brand B Underwear Country,Himaxx Own,Brand B,Tier 2,Underwear,Own Brand,Himaxx,504.21,110.38,1.0,0.3904,Fall,Clearance,Mass,Unisex,Adult,Black,XL-XXL,Fashion,Seasonal,1,0,2025-07-22
SKU00166,Brooks Brothers Underwear Go,External Brand,Brooks Brothers,Tier 1,Underwear,Buyout,Himaxx,180.13,16.27,1.0,0.4094,Fall,New,Entry,Women,Young Adult,Blue,XL-XXL,Fashion,Seasonal,0,0,2025-09-10
SKU00167,Brand B Yoga Apparel Its,Himaxx Own,Brand B,Tier 2,Yoga Apparel,Own Brand,Himaxx,1106.96,208.97,1.0,0.5971,Summer,New,Premium,Unisex,Adult,Blue,M-L,Performance,Seasonal,0,0,2025-10-02
SKU00168,Cole Haan Sportswear Treat,External Brand,Cole Haan,Tier 2,Sportswear,Buyout,Himaxx,200.73,12.19,1.0,0.3112,Core,Mature,Entry,Women,Adult,Black,XS-S,Core Basic,Core,0,1,2025-07-20
SKU00169,Brand A Basketball Shoes Energy,Himaxx Own,Brand A,Tier 2,Basketball Shoes,Own Brand,Himaxx,450.93,75.32,1.0,0.4206,Winter,New,Mass,Women,Young Adult,Brown,M-L,Performance,Seasonal,0,0,2024-02-24
SKU00170,Nike Lifestyle Apparel Store,External Brand,Nike,Tier 1,Lifestyle Apparel,Buyout,Himaxx,993.72,101.36,1.0,0.4531,Core,Growth,Premium,Unisex,Young Adult,Grey,M-L,Limited,Seasonal,0,1,2025-06-13
SKU00171,Brooks Brothers Sportswear Idea,External Brand,Brooks Brothers,Tier 1,Sportswear,Consignment,Brand Partner,445.45,5.27,0.2536,0.3138,Winter,Growth,Mass,Women,Young Adult,Black,M-L,Core Basic,Core,0,1,2025-12-18
SKU00172,Nike Running Shoes Town,External Brand,Nike,Tier 1,Running Shoes,Consignment,Brand Partner,893.31,38.06,0.3089,0.2345,Winter,Growth,Premium,Kids,Adult,Grey,XL-XXL,Fashion,Seasonal,0,1,2024-10-04
SKU00173,Champion Bags Decision,External Brand,Champion,Tier 3,Bags,Buyout,Himaxx,344.95,31.87,1.0,0.3526,Fall,Growth,Mass,Women,Senior,Black,M-L,Fashion,Seasonal,0,1,2025-10-18
SKU00174,Nike Yoga Apparel Magazine,External Brand,Nike,Tier 1,Yoga Apparel,Consignment,Brand Partner,382.65,9.97,0.1802,0.2699,Summer,Growth,Mass,Men,Youth,Grey,M-L,Fashion,Seasonal,0,1,2024-05-24
SKU00175,Under Armour Sportswear Tend,External Brand,Under Armour,Tier 3,Sportswear,Consignment,Brand Partner,255.72,4.06,0.285,0.3468,Spring,New,Entry,Women,Senior,Black,One Size,Core Basic,Seasonal,0,0,2025-09-24
SKU00176,Salomon Underwear Drive,External Brand,Salomon,Tier 3,Underwear,Buyout,Himaxx,657.75,118.2,1.0,0.3448,Fall,New,Mass,Women,Senior,Black,One Size,Fashion,Seasonal,0,0,2024-01-07
SKU00177,Brooks Brothers Lifestyle Apparel Receive,External Brand,Brooks Brothers,Tier 1,Lifestyle Apparel,Buyout,Himaxx,917.01,87.57,1.0,0.311,Spring,Growth,Premium,Unisex,Youth,Red,One Size,Core Basic,Core,0,1,2023-12-05
SKU00178,Puma Training Shoes Get,External Brand,Puma,Tier 3,Training Shoes,Buyout,Himaxx,1165.73,161.82,1.0,0.3413,Winter,Mature,Premium,Unisex,Adult,Black,M-L,Clearance,Seasonal,1,0,2024-03-08
SKU00179,Brooks Brothers Kids Apparel Available,External Brand,Brooks Brothers,Tier 1,Kids Apparel,Buyout,Himaxx,229.49,18.62,1.0,0.4967,Fall,Growth,Entry,Men,Adult,Black,M-L,Fashion,Seasonal,0,1,2026-03-31
SKU00180,Skechers Underwear Family,External Brand,Skechers,Tier 3,Underwear,Consignment,Brand Partner,624.18,25.63,0.3353,0.2052,Winter,New,Mass,Women,Young Adult,Black,XS-S,Core Basic,Seasonal,0,0,2024-05-26
SKU00181,Brand A Training Shoes Mr,Himaxx Own,Brand A,Tier 2,Training Shoes,Own Brand,Himaxx,1659.73,283.92,1.0,0.4143,Winter,New,Luxury,Women,Young Adult,White,M-L,Core Basic,Seasonal,0,0,2024-07-18
SKU00182,The North Face Basketball Shoes Threat,External Brand,The North Face,Tier 3,Basketball Shoes,Buyout,Himaxx,1608.77,260.54,1.0,0.4135,Winter,Mature,Luxury,Unisex,Adult,Brown,M-L,Core Basic,Core,0,1,2024-12-15
SKU00183,Adidas Bags Wrong,External Brand,Adidas,Tier 1,Bags,Consignment,Brand Partner,536.81,17.15,0.2838,0.2073,Winter,New,Mass,Unisex,Adult,White,M-L,Fashion,Seasonal,0,0,2023-06-07
SKU00184,The North Face Kids Apparel Understand,External Brand,The North Face,Tier 3,Kids Apparel,Buyout,Himaxx,1274.71,207.68,1.0,0.3985,Winter,New,Premium,Men,Adult,Black,XL-XXL,Performance,Seasonal,0,0,2026-04-04
SKU00185,Adidas Outdoor Apparel Could,External Brand,Adidas,Tier 1,Outdoor Apparel,Buyout,Himaxx,884.87,104.93,1.0,0.4245,Spring,Clearance,Premium,Men,Adult,Multi,XS-S,Core Basic,Seasonal,1,0,2025-02-01
SKU00186,New Balance Sportswear Evidence,External Brand,New Balance,Tier 3,Sportswear,Consignment,Brand Partner,683.86,15.43,0.2254,0.204,Summer,Mature,Mass,Unisex,Adult,White,XL-XXL,Core Basic,Core,0,1,2023-06-18
SKU00187,New Balance Sportswear Pick,External Brand,New Balance,Tier 3,Sportswear,Consignment,Brand Partner,955.14,9.74,0.288,0.2113,Summer,Mature,Premium,Women,Senior,Red,M-L,Performance,Seasonal,0,1,2024-08-25
SKU00188,Brand B Basketball Shoes Shoulder,Himaxx Own,Brand B,Tier 2,Basketball Shoes,Own Brand,Himaxx,1234.28,160.26,1.0,0.5716,Fall,Clearance,Premium,Men,Adult,Green,M-L,Fashion,Seasonal,1,0,2025-09-15
SKU00189,Salomon Basketball Shoes Least,External Brand,Salomon,Tier 3,Basketball Shoes,Buyout,Himaxx,749.87,93.13,1.0,0.3111,Spring,Mature,Mass,Unisex,Young Adult,Grey,M-L,Core Basic,Core,0,1,2025-03-01
SKU00190,Reebok Underwear Running Shoes Much,External Brand,Reebok Underwear,Tier 2,Running Shoes,Buyout,Himaxx,1652.22,251.73,1.0,0.4673,Fall,Mature,Luxury,Kids,Young Adult,Blue,M-L,Core Basic,Core,0,1,2023-09-11
SKU00191,Under Armour Basketball Shoes We,External Brand,Under Armour,Tier 3,Basketball Shoes,Consignment,Brand Partner,1414.19,32.03,0.2571,0.2149,Spring,Mature,Premium,Women,Adult,Brown,One Size,Limited,Seasonal,0,1,2025-01-28
SKU00192,Brand B Training Shoes Environmental,Himaxx Own,Brand B,Tier 2,Training Shoes,Own Brand,Himaxx,460.72,67.65,1.0,0.4144,Fall,New,Mass,Men,Senior,Black,One Size,Performance,Seasonal,0,0,2023-06-25
SKU00193,Salomon Running Shoes Least,External Brand,Salomon,Tier 3,Running Shoes,Buyout,Himaxx,1239.36,215.36,1.0,0.3254,Winter,Growth,Premium,Men,Adult,Blue,M-L,Performance,Seasonal,0,1,2023-05-09
SKU00194,Puma Kids Apparel Wish,External Brand,Puma,Tier 3,Kids Apparel,Buyout,Himaxx,448.22,50.76,1.0,0.3328,Winter,New,Mass,Women,Young Adult,Black,M-L,Core Basic,Seasonal,0,0,2025-10-07
SKU00195,Brooks Brothers Bags Right,External Brand,Brooks Brothers,Tier 1,Bags,Buyout,Himaxx,1460.55,123.12,1.0,0.4303,Core,New,Premium,Unisex,Adult,Black,XL-XXL,Fashion,Seasonal,0,0,2025-07-03
SKU00196,Asics Accessories Site,External Brand,Asics,Tier 3,Accessories,Consignment,Brand Partner,137.2,4.88,0.301,0.305,Spring,Mature,Entry,Unisex,Young Adult,Black,M-L,Fashion,Seasonal,0,1,2025-07-23
SKU00197,Adidas Sportswear Debate,External Brand,Adidas,Tier 1,Sportswear,Consignment,Brand Partner,211.17,9.85,0.347,0.2331,Spring,New,Entry,Kids,Young Adult,Red,M-L,Performance,Seasonal,0,0,2024-06-09
SKU00198,Adidas Running Shoes Available,External Brand,Adidas,Tier 1,Running Shoes,Consignment,Brand Partner,1184.37,43.68,0.3474,0.3008,Spring,Clearance,Premium,Unisex,Youth,Brown,M-L,Core Basic,Seasonal,1,0,2026-03-12
SKU00199,Patagonia Accessories Wife,External Brand,Patagonia,Tier 3,Accessories,Buyout,Himaxx,393.91,33.79,1.0,0.2701,Core,New,Mass,Unisex,Adult,Black,M-L,Core Basic,Seasonal,0,0,2024-05-03
SKU00200,Nike Basketball Shoes Former,External Brand,Nike,Tier 1,Basketball Shoes,Buyout,Himaxx,1241.24,168.19,1.0,0.2735,Fall,Growth,Premium,Men,Senior,Red,One Size,Clearance,Seasonal,1,0,2025-05-03
SKU00201,Brooks Brothers Underwear Capital,External Brand,Brooks Brothers,Tier 1,Underwear,Buyout,Himaxx,101.17,9.2,1.0,0.2738,Core,New,Entry,Women,Adult,Green,M-L,Core Basic,Seasonal,0,0,2025-07-04
SKU00202,Reebok Underwear Outdoor Apparel First,External Brand,Reebok Underwear,Tier 2,Outdoor Apparel,Buyout,Himaxx,860.18,92.4,1.0,0.453,Summer,Growth,Premium,Unisex,Adult,Black,XL-XXL,Performance,Seasonal,0,1,2024-11-13
SKU00203,Under Armour Outdoor Apparel Reflect,External Brand,Under Armour,Tier 3,Outdoor Apparel,Buyout,Himaxx,1177.7,155.26,1.0,0.275,Winter,New,Premium,Men,Young Adult,Multi,M-L,Fashion,Seasonal,0,0,2024-07-28
SKU00204,Skechers Accessories Interesting,External Brand,Skechers,Tier 3,Accessories,Buyout,Himaxx,650.5,59.51,1.0,0.3891,Core,Growth,Mass,Women,Adult,Brown,M-L,Clearance,Seasonal,1,0,2025-06-09
SKU00205,On Running Sportswear Once,External Brand,On Running,Tier 1,Sportswear,Consignment,Brand Partner,172.65,2.43,0.2761,0.2325,Summer,Mature,Entry,Men,Youth,Blue,XS-S,Fashion,Seasonal,0,1,2023-09-24
SKU00206,Skechers Running Shoes Kitchen,External Brand,Skechers,Tier 3,Running Shoes,Buyout,Himaxx,1391.43,87.13,1.0,0.4899,Summer,Clearance,Premium,Women,Adult,Red,XL-XXL,Performance,Seasonal,1,0,2025-05-05
SKU00207,Patagonia Sportswear Hundred,External Brand,Patagonia,Tier 3,Sportswear,Buyout,Himaxx,252.15,21.02,1.0,0.3189,Fall,Mature,Entry,Men,Young Adult,Blue,M-L,Fashion,Seasonal,0,1,2025-05-18
SKU00208,Adidas Training Shoes Weight,External Brand,Adidas,Tier 1,Training Shoes,Consignment,Brand Partner,1335.6,39.62,0.3443,0.2628,Fall,Mature,Premium,Unisex,Young Adult,Grey,XS-S,Clearance,Seasonal,1,0,2023-11-14
SKU00209,Skechers Yoga Apparel Outside,External Brand,Skechers,Tier 3,Yoga Apparel,Consignment,Brand Partner,969.87,12.1,0.2819,0.1843,Summer,New,Premium,Men,Senior,Multi,M-L,Performance,Seasonal,0,0,2024-04-01
SKU00210,Asics Yoga Apparel Official,External Brand,Asics,Tier 3,Yoga Apparel,Consignment,Brand Partner,248.09,5.57,0.2538,0.1821,Spring,New,Entry,Unisex,Adult,Blue,XL-XXL,Fashion,Seasonal,0,0,2025-11-05
SKU00211,Cole Haan Lifestyle Apparel Fly,External Brand,Cole Haan,Tier 2,Lifestyle Apparel,Buyout,Himaxx,1233.65,64.59,1.0,0.3107,Fall,Growth,Premium,Women,Young Adult,Grey,XL-XXL,Core Basic,Core,0,1,2024-03-17
SKU00212,Lululemon Basketball Shoes Law,External Brand,Lululemon,Tier 1,Basketball Shoes,Buyout,Himaxx,603.88,78.69,1.0,0.418,Summer,New,Mass,Unisex,Adult,Red,M-L,Core Basic,Seasonal,0,0,2025-09-14
SKU00213,Adidas Lifestyle Apparel Policy,External Brand,Adidas,Tier 1,Lifestyle Apparel,Consignment,Brand Partner,708.72,22.98,0.2953,0.2617,Spring,Growth,Mass,Unisex,Young Adult,White,M-L,Performance,Seasonal,0,1,2025-04-23
SKU00214,Skechers Bags Make,External Brand,Skechers,Tier 3,Bags,Consignment,Brand Partner,1105.38,30.55,0.1862,0.3318,Summer,New,Premium,Unisex,Young Adult,Grey,M-L,Core Basic,Seasonal,0,0,2024-09-02
SKU00215,Brand A Underwear Republican,Himaxx Own,Brand A,Tier 2,Underwear,Own Brand,Himaxx,671.56,136.97,1.0,0.5806,Fall,Growth,Mass,Women,Young Adult,Blue,M-L,Clearance,Seasonal,1,0,2023-12-28
SKU00216,Columbia Training Shoes Material,External Brand,Columbia,Tier 3,Training Shoes,Buyout,Himaxx,1307.22,68.7,1.0,0.4351,Summer,Clearance,Premium,Kids,Youth,Black,XL-XXL,Performance,Seasonal,1,0,2025-09-23
SKU00217,Nike Underwear Style,External Brand,Nike,Tier 1,Underwear,Consignment,Brand Partner,643.32,27.34,0.2228,0.2677,Core,Clearance,Mass,Women,Youth,Blue,XS-S,Fashion,Seasonal,1,0,2025-07-21
SKU00218,Nike Yoga Apparel Reason,External Brand,Nike,Tier 1,Yoga Apparel,Consignment,Brand Partner,854.44,10.5,0.3263,0.3245,Summer,Mature,Premium,Women,Adult,White,XS-S,Fashion,Seasonal,0,1,2023-08-08
SKU00219,Adidas Lifestyle Apparel Myself,External Brand,Adidas,Tier 1,Lifestyle Apparel,Buyout,Himaxx,1090.29,148.02,1.0,0.4962,Core,Mature,Premium,Men,Youth,Grey,M-L,Core Basic,Core,0,1,2025-05-03
SKU00220,Nike Accessories President,External Brand,Nike,Tier 1,Accessories,Consignment,Brand Partner,211.72,5.2,0.2372,0.3294,Fall,New,Entry,Unisex,Adult,White,XL-XXL,Performance,Seasonal,0,0,2024-05-09
SKU00221,On Running Accessories Tell,External Brand,On Running,Tier 1,Accessories,Consignment,Brand Partner,693.52,32.94,0.1835,0.3334,Spring,Mature,Mass,Unisex,Young Adult,Green,XS-S,Core Basic,Core,0,1,2026-03-15
SKU00222,Reebok Underwear Training Shoes Easy,External Brand,Reebok Underwear,Tier 2,Training Shoes,Consignment,Brand Partner,790.63,38.48,0.256,0.2547,Winter,Growth,Mass,Women,Young Adult,Grey,M-L,Limited,Seasonal,0,1,2025-05-13
